sku,descripcion,unidades_compradas_pagadas,unidades_promocion_obtenidas,unidades_vendidas,precio_promedio_venta,unidades_promo_monetizadas,unidades_promo_no_monetizadas,%_promos_no_monetizadas,ingreso_esperado_promos,ingreso_estimado_promos_monetizados,brecha_ingreso_promos
400044,PILOPEPTAN CHAMPÚ - WOMAN|,25.0,5.0,1.0,30.35,0.0,5.0,100.0,151.75,0.0,151.75
500005,ANTHEMIS TALCO 120GR,21.0,7.0,13.0,13.17,0.0,7.0,100.0,92.19,0.0,92.19
500008,LOCIÓN ANTITRANSPIRANTE 100ML,23.0,5.0,25.0,12.14,2.0,3.0,60.0,60.7,24.28,36.42
400004,FLUIDBASE REDERM GEL FORTE AHA|15%,5.0,1.0,5.0,35.67,0.0,1.0,100.0,35.67,0.0,35.67
400005,FLUIDBASE REDERM LOCIÓN AHA|10%,5.0,1.0,3.0,35.6,0.0,1.0,100.0,35.6,0.0,35.6
400046,PILOPEPTAN LOCIÓN FORMULABLE,5.0,1.0,2.0,32.4,0.0,1.0,100.0,32.4,0.0,32.4
400012,GENOSUN PIGMENT REPAIR,5.0,1.0,1.0,26.68,0.0,1.0,100.0,26.68,0.0,26.68
400007,GENOCUTÁN GEL DERMATOLÓGICO|500ML,5.0,1.0,4.0,26.18,0.0,1.0,100.0,26.18,0.0,26.18
400049,PILOPEPTAN REPARADOR UÑAS - GEL,15.0,3.0,17.0,18.31529411764706,2.0,1.0,33.33333333333333,54.94588235294118,36.63058823529412,18.315294117647063
FA-1202,METRORUBORIL AZ 30 ML,0.0,0.0,13.0,26.682307692307692,0.0,0.0,0.0,0.0,0.0,0.0
FA-1204,MICOZONE 250MG COMP X14,0.0,0.0,1.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
FA-1205,"MINOXIDIL 2,5MG+FINASTERIDE 2,5MG CAPS",0.0,0.0,54.0,1.3400000000000003,0.0,0.0,0.0,0.0,0.0,0.0
FA-1206,MINOXIDIL 2.5MG CAPSULAS,0.0,0.0,327.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
FA-1207,MINOXIDIL 5MG CAJA*30,0.0,0.0,377.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
FA-1208,MIQUIMOD 5% CREMA X3G,0.0,0.0,6.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0
FA-1211,MOMED CREMA 30GR,0.0,0.0,3.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0
FA-1212,MUPAX CREMA 15GR,0.0,0.0,15.0,6.9879999999999995,0.0,0.0,0.0,0.0,0.0,0.0
FA-1220,NUPEL UNGUENTO TUBO*30G,0.0,0.0,19.0,15.671052631578947,0.0,0.0,0.0,0.0,0.0,0.0
FA-1226,PHOTOCARE IP GEL COLOR X 50G,0.0,0.0,3.0,26.353333333333335,0.0,0.0,0.0,0.0,0.0,0.0
FA-1228,PILEXIL ANTICAIDA CAPS X50,0.0,0.0,50.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
FA-1229,PILOPEPTAN CHAMPU SEB DS,0.0,0.0,16.0,16.42,0.0,0.0,0.0,0.0,0.0,0.0
FA-1230,PILOPEPTAN INTENSIVE SOBRE,0.0,0.0,177.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0
FA-1233,PILOPEPTAN SEB CAPSU X30,0.0,0.0,200.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0
FA-1203,MICOZONE 1% CREMA X15G,0.0,0.0,1.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0
FA-1201,METOTREXATO MEDICAMENTA COMP 2.5 MG *100,0.0,0.0,91.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
FA-1197,MEBO HERNAL UNGX0.25%X30GR,0.0,0.0,5.0,14.190000000000001,0.0,0.0,0.0,0.0,0.0,0.0
FA-1196,"MAXIDERM 0,1% CREMA TUBO X15G",0.0,0.0,4.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
FA-1193,MAAT MOUSE TONO 3 CREMA X25G,0.0,0.0,15.0,22.91,0.0,0.0,0.0,0.0,0.0,0.0
FA-1192,MAAT MOUSE TONO 2 CREMA X25G,0.0,0.0,4.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0
FA-1190,LUMED EMULGEL X40G,0.0,0.0,3.0,26.38,0.0,0.0,0.0,0.0,0.0,0.0
FA-1189,LUMED BASE COMPACTA TONO OSCURO 11G,0.0,0.0,3.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0
FA-1188,LUMED BASE COMPACTA TONO CLARO 11G,0.0,0.0,2.0,27.48,0.0,0.0,0.0,0.0,0.0,0.0
FA-1187,LOMAZOL 5MG COMP X10,0.0,0.0,8.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0
FA-1185,LIPIKAR CR AP+400ML,0.0,0.0,6.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0
FA-1182,LEVOTREX 5MG CAPS BLAN X10,0.0,0.0,4.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0
FA-1181,LETIXER Q CREMA (SEQUEDAD EXTREMA) X100ML,0.0,0.0,2.0,24.64,0.0,0.0,0.0,0.0,0.0,0.0
FA-1180,LETIXER D CREMA (PIEL MUY SECA)X200ML,0.0,0.0,20.0,30.74,0.0,0.0,0.0,0.0,0.0,0.0
FA-1177,LETI AT-4 GEL X 250ML,0.0,0.0,18.0,19.58,0.0,0.0,0.0,0.0,0.0,0.0
FA-1232,PILOPEPTAN MASCARILLA CAPILAR,0.0,0.0,1.0,27.85,0.0,0.0,0.0,0.0,0.0,0.0
FA-1297,URELIA 50 TUBO 40ML,0.0,0.0,1.0,23.22,0.0,0.0,0.0,0.0,0.0,0.0
FA-1295,"UREA 10%,ACSALICILICO6% CLOBESOL0.05% LA1% 100G",0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
FA-1294,UNITONE 4 WHITE ADVANCE,0.0,0.0,5.0,27.612000000000002,0.0,0.0,0.0,0.0,0.0,0.0
FA-1292,UMBRELLA GEL 50+60G IMP,0.0,0.0,1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
