source_file,clave_acceso,numero_autorizacion,fecha_emision,codigo_principal,codigo_auxiliar,descripcion,cantidad,precio_unitario,descuento,precio_total_sin_impuesto,impuesto_valor_total,es_gratis
Factura (1).xml,0304202501179222137400120010050000176334256725719,0304202501179222137400120010050000176334256725719,03/04/2025,300084,108899,Fórmula Magistral Cápsulas Minoxidil 5mg Dutasteride 0.5mg,10.0,19.0,0.0,190.0,0.0,False
Factura (1).xml,0304202501179222137400120010050000176334256725719,0304202501179222137400120010050000176334256725719,03/04/2025,300084,108899,Fórmula Magistral Cápsulas Minoxidil 5mg Dutasteride 0.5mg,1.0,19.0,19.0,0.0,0.0,False
Factura (10).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,500008,7868000495133,Loción Antitranspirante 100ml,8.0,10.42,0.0,83.36,12.5,False
Factura (10).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,500008,7868000495133,Loción Antitranspirante 100ml,2.0,10.42,20.84,0.0,0.0,False
Factura (10).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,400052,8423372800467,Pilopeptan Woman - 5 alpha,5.0,39.0,0.0,195.0,29.25,False
Factura (10).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,400052,8423372800467,Pilopeptan Woman - 5 alpha,1.0,39.0,39.0,0.0,0.0,False
Factura (11).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,500008,7868000495133,Loción Antitranspirante 100ml,8.0,10.42,0.0,83.36,12.5,False
Factura (11).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,500008,7868000495133,Loción Antitranspirante 100ml,2.0,10.42,20.84,0.0,0.0,False
Factura (11).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,400052,8423372800467,Pilopeptan Woman - 5 alpha,5.0,39.0,0.0,195.0,29.25,False
Factura (11).xml,0404202501179222137400120010050000176694257523312,0404202501179222137400120010050000176694257523312,04/04/2025,400052,8423372800467,Pilopeptan Woman - 5 alpha,1.0,39.0,39.0,0.0,0.0,False
