source_file,clave_acceso,numero_autorizacion,fecha_emision,codigo_principal,codigo_auxiliar,descripcion,cantidad,precio_unitario,descuento,precio_total_sin_impuesto,impuesto_valor_total,es_gratis
0102202501130217761100120050020000005112304201911.xml,0102202501130217761100120050020000005112304201911,0102202501130217761100120050020000005112304201911,01/02/2025,500008,465573,Loción Antitranspirante 100ml,1.0,11.9,0.0,11.9,1.79,False
0103202501130217761100120050020000007722304201918.xml,0103202501130217761100120050020000007722304201918,0103202501130217761100120050020000007722304201918,01/03/2025,8470001972088,480434,Heliocare 360 D plus x 30 capsulas,15.0,1.07,0.0,16.05,2.41,False
0103202501130217761100120050020000007732304201913.xml,0103202501130217761100120050020000007732304201913,0103202501130217761100120050020000007732304201913,01/03/2025,FA-1525,462602,P20 ORIGINAL SPF50+ 85ML,1.0,25.82,0.0,25.82,3.87,False
0103202501130217761100120050020000007742304201919.xml,0103202501130217761100120050020000007742304201919,0103202501130217761100120050020000007742304201919,01/03/2025,7703153040116,483068,Vitybell cajax30 unidades CBG,30.0,0.695652,0.0,20.87,3.13,False
0103202501130217761100120050020000007742304201919.xml,0103202501130217761100120050020000007742304201919,0103202501130217761100120050020000007742304201919,01/03/2025,1088102,465417,Fórmula Magistral Cápsulas Minoxidil 2.5mg Dutasteride 0.5mg,30.0,0.83,0.0,24.9,0.0,False
0103202501130217761100120050020000007752304201914.xml,0103202501130217761100120050020000007752304201914,0103202501130217761100120050020000007752304201914,01/03/2025,1088102,465417,Fórmula Magistral Cápsulas Minoxidil 2.5mg Dutasteride 0.5mg,30.0,0.83,0.0,24.9,0.0,False
0103202501130217761100120050020000007762304201911.xml,0103202501130217761100120050020000007762304201911,0103202501130217761100120050020000007762304201911,01/03/2025,7895389148138,465583,Secatriz Prebio Control - 40 gr,1.0,26.4,0.0,26.4,3.96,False
0103202501130217761100120050020000007772304201915.xml,0103202501130217761100120050020000007772304201915,0103202501130217761100120050020000007772304201915,01/03/2025,FA-1309,462729,GENOCUTAN GEL DERMATOLOGICO,1.0,25.32,0.0,25.32,3.8,False
0103202501130217761100120050020000007772304201915.xml,0103202501130217761100120050020000007772304201915,0103202501130217761100120050020000007772304201915,01/03/2025,UR-8516,465594,URIAGE-CUIDADO E HIGIENE-DESODORANTE-PACK DESODORANTE X 2 50ML,1.0,18.58,0.0,18.58,2.79,False
0103202501130217761100120050020000007772304201915.xml,0103202501130217761100120050020000007772304201915,0103202501130217761100120050020000007772304201915,01/03/2025,FA-1454,462646,PERPIREX ORIGINAL 20ML,1.0,23.22,0.0,23.22,3.48,False
0103202501130217761100120050020000007782304201910.xml,0103202501130217761100120050020000007782304201910,0103202501130217761100120050020000007782304201910,01/03/2025,400053,462769,Pilopeptan Woman -|Comprimidos,60.0,1.5,0.0,90.0,13.5,False
0103202501130217761100120050020000007782304201910.xml,0103202501130217761100120050020000007782304201910,0103202501130217761100120050020000007782304201910,01/03/2025,FA-1402,462679,KETOCON SHAMPOO 2% THERAPY,1.0,11.25,0.0,11.25,0.0,False
0104202501130217761100120050020000010662304201914.xml,0104202501130217761100120050020000010662304201914,0104202501130217761100120050020000010662304201914,01/04/2025,FA-1497,462619,CLARITE SERUM TX,1.0,43.04,0.0,43.04,6.46,False
0104202501130217761100120050020000010662304201914.xml,0104202501130217761100120050020000010662304201914,0104202501130217761100120050020000010662304201914,01/04/2025,FA-1005,462892,ACNOTIN 20MG CAPS BLAN x30,30.0,1.11,0.0,33.3,0.0,False
0104202501130217761100120050020000010672304201911.xml,0104202501130217761100120050020000010672304201911,0104202501130217761100120050020000010672304201911,01/04/2025,261104,462701,TEEN DERM GEL SENSITIVE|250 ML,1.0,30.1,0.0,30.1,4.52,False
0104202501130217761100120050020000010672304201911.xml,0104202501130217761100120050020000010672304201911,0104202501130217761100120050020000010672304201911,01/04/2025,FA-1497,462619,CLARITE SERUM TX,1.0,43.04,0.0,43.04,6.46,False
